,acc_x,acc_y,acc_z,offset
0,-0.9451387993440763,-4.446484606013751,9.112225619910824,2021-06-15 16:49:37.486
1,-0.9232249087321114,-4.452579572818929,9.298184313833758,2021-06-15 16:49:37.366
2,-0.6233851865780184,-4.350642690397354,9.030288338292923,2021-06-15 16:49:37.356
3,-0.47822137424392075,-4.33955220276642,9.085737241386031,2021-06-15 16:49:37.256
4,-0.8070703584740802,-4.3801276181500235,9.069647615113816,2021-06-15 16:49:37.157
5,-0.7289362093110603,-4.3763422858302,9.259447107088636,2021-06-15 16:49:36.957
6,-0.7259625352636467,-4.231016400764635,9.15994927041959,2021-06-15 16:49:36.946
7,-0.688585940529945,-4.159076157033731,9.253120912797627,2021-06-15 16:49:36.746
8,-0.6365047950012266,-3.901193854671876,9.339249185248462,2021-06-15 16:49:36.637
9,-0.6711356254800664,-3.611678822481,9.346160225082436,2021-06-15 16:49:36.536
10,-0.7821630356273837,-3.124971453175471,9.426797415041761,2021-06-15 16:49:36.527
11,-0.7131017550960168,-3.1640641839897254,9.399992495523952,2021-06-15 16:49:36.327
12,-0.6569401177692407,-3.2285441615275556,9.464655214691307,2021-06-15 16:49:36.326
13,-0.6705507793260803,-3.095410503666845,9.467663370706266,2021-06-15 16:49:36.226
14,-0.7379918377796075,-3.039256100454697,9.474615367417329,2021-06-15 16:49:36.026
15,-0.6241163356213872,-3.0472018793138935,9.522123640076236,2021-06-15 16:49:36.016
16,-0.6892643825153753,-2.3748834589607073,9.734259806852075,2021-06-15 16:49:35.816
17,-0.6527970617224617,-1.865465999346124,9.639141908343403,2021-06-15 16:49:35.706
18,-0.6004748485015095,-2.3326526707222808,9.654221181582871,2021-06-15 16:49:35.696
19,-0.7337285065256283,-2.592830822349822,9.55776344805106,2021-06-15 16:49:35.596
20,-0.6771310050360941,-2.3150805353335095,9.741602440436044,2021-06-15 16:49:35.397
21,-0.5885278609569646,-2.3436373341232253,9.538924822321045,2021-06-15 16:49:35.296
22,-0.6807688166473846,-2.4334288275107094,9.621694909018839,2021-06-15 16:49:35.286
23,-0.6173763046321945,-2.422785833364082,9.639479677156988,2021-06-15 16:49:35.086
24,-0.6167451415394054,-2.405433911155571,9.642316916614648,2021-06-15 16:49:34.977
25,-0.6547392170739583,-2.3615283159161993,9.634793752498123,2021-06-15 16:49:34.867
26,-0.6510868096400997,-2.3939231387852553,9.648251406918918,2021-06-15 16:49:34.766
27,-0.6569123569813067,-2.40955972336188,9.66032393367198,2021-06-15 16:49:34.756
28,-0.6424110192664536,-2.3457213258862537,9.64649787799353,2021-06-15 16:49:34.656
29,-0.6464978085792594,-2.354771944402791,9.668414447415335,2021-06-15 16:49:34.456
30,-0.6582671336756314,-2.3755690138089016,9.662861117022377,2021-06-15 16:49:34.446
31,-0.6295538368864875,-2.3372607229180744,9.648465156128092,2021-06-15 16:49:34.347
32,-0.6843929301251235,-2.325971541512293,9.605761711745382,2021-06-15 16:49:34.247
33,-0.6565463044669351,-2.3537109213116665,9.62173094384335,2021-06-15 16:49:34.047
34,-0.6152014244933997,-2.3548525003995,9.647800869508641,2021-06-15 16:49:34.036
35,-0.6557542628051778,-2.3268488168840027,9.635063472963262,2021-06-15 16:49:33.836
36,-0.6772529980451232,-2.3444089225422453,9.644203185654808,2021-06-15 16:49:33.836
37,-0.6845035241033395,-2.3315536532755603,9.621743703857579,2021-06-15 16:49:33.726
38,-0.6829965129061919,-2.3338590059127187,9.732491560181332,2021-06-15 16:49:33.626
39,-0.62413863091924,-2.3247530813049555,9.675825516784029,2021-06-15 16:49:33.526
40,-0.6432711486487288,-2.358179547788057,9.62994519390631,2021-06-15 16:49:33.426
41,-0.6486886644603447,-2.387530793895578,9.642968992005434,2021-06-15 16:49:33.316
42,-0.6443569045375486,-2.325940436424223,9.667380780719144,2021-06-15 16:49:33.216
43,-0.6358640723522417,-2.305662889746294,9.684923269953934,2021-06-15 16:49:33.117
44,-0.644467090127596,-2.3345812504128722,9.609128156406912,2021-06-15 16:49:33.016
45,-0.6488231638818682,-2.3418807828527486,9.596148238909235,2021-06-15 16:49:32.916
46,-0.6657530819837634,-2.3188014894797604,9.68909275123806,2021-06-15 16:49:32.816
47,-0.6709374576428424,-2.316300642128947,9.709298251599929,2021-06-15 16:49:32.706
48,-0.65167383546114,-2.371387372191589,9.660063835277695,2021-06-15 16:49:32.608
49,-0.585724442411343,-2.36474457963699,9.649212439870654,2021-06-15 16:49:32.497
50,-0.6315959658881989,-2.3811977284916606,9.594370187541198,2021-06-15 16:49:32.397
51,-0.6650094713622117,-2.3685731650452384,9.694309774503996,2021-06-15 16:49:32.297
52,-0.633534092984904,-2.3774748261047174,9.660932496892467,2021-06-15 16:49:32.198
53,-0.6678170921828339,-2.384211703761847,9.590555897960629,2021-06-15 16:49:32.097
54,-0.6886227113377585,-2.359804522178221,9.668157712686082,2021-06-15 16:49:31.997
55,-0.6689751586119734,-2.3743146572245335,9.631305018189952,2021-06-15 16:49:31.887
56,-0.5983522086659003,-2.3780980956210303,9.660958273401704,2021-06-15 16:49:31.788
57,-0.6106482119271084,-2.3747052699588256,9.624758129689111,2021-06-15 16:49:31.677
58,-0.6497561540899459,-2.373622655032855,9.65714465182027,2021-06-15 16:49:31.577
59,-0.6200600675938837,-2.3891938258831833,9.666975462710212,2021-06-15 16:49:31.477
60,-0.603502355064601,-2.3364948652847635,9.690517256532019,2021-06-15 16:49:31.378
61,-0.6395242033982511,-2.3498179160824084,9.610297066281802,2021-06-15 16:49:31.277
62,-0.6448231671186833,-2.3896446992956313,9.653017355779443,2021-06-15 16:49:31.167
63,-0.6665004494407665,-2.30883428280106,9.616174863440916,2021-06-15 16:49:31.057
64,-0.6202348592241929,-2.343626836709876,9.67320545180295,2021-06-15 16:49:30.957
65,-0.6203273374799296,-2.367540235755069,9.665928454548064,2021-06-15 16:49:30.847
66,-0.6280643130548194,-2.327352494791994,9.634003704786885,2021-06-15 16:49:30.738
67,-0.6628563198354511,-2.3221126866919217,9.658188156782558,2021-06-15 16:49:30.637
68,-0.6534308089587664,-2.359642285153828,9.673479223799987,2021-06-15 16:49:30.537
69,-0.6326137413711919,-2.3603031678666797,9.70925867048394,2021-06-15 16:49:30.427
70,-0.6714130947012291,-2.2943001584740204,9.556659982559317,2021-06-15 16:49:30.327
71,-0.6259297244598492,-2.352110146246794,9.679886981167442,2021-06-15 16:49:30.217
72,-0.6443390466665004,-2.3412127066999533,9.718355470145582,2021-06-15 16:49:30.107
73,-0.662996610781597,-2.333110200779589,9.584048794069137,2021-06-15 16:49:30.007
74,-0.6598834164783693,-2.355885142012504,9.676181242307242,2021-06-15 16:49:29.907
75,-0.6590190412332884,-2.3992888451767724,9.670711082683098,2021-06-15 16:49:29.798
76,-0.6730656942920958,-2.330561845819952,9.601009363548323,2021-06-15 16:49:29.697
77,-0.6800688257456315,-2.3409308984420756,9.569004474453623,2021-06-15 16:49:29.597
78,-0.651796772299692,-2.394598727616014,9.711134736912976,2021-06-15 16:49:29.497
79,-0.6228302513822614,-2.4154749732759053,9.699022337638182,2021-06-15 16:49:29.397
80,-0.6700003126792775,-2.340420902095343,9.626279446327896,2021-06-15 16:49:29.297
81,-0.6693345913061455,-2.3796333024568175,9.548747397488821,2021-06-15 16:49:29.197
82,-0.6510066699767325,-2.38763891719524,9.69061680654942,2021-06-15 16:49:29.098
83,-0.6391205235499722,-2.3972193135919553,9.692015255268904,2021-06-15 16:49:28.987
84,-0.7017362171153214,-2.351943062725906,9.521969529417253,2021-06-15 16:49:28.877
85,-0.6873060963426811,-2.3770350542326266,9.678288018645768,2021-06-15 16:49:28.777
86,-0.6414298936396405,-2.4195026386919323,9.636873310274574,2021-06-15 16:49:28.677
87,-0.6370903045937986,-2.37397012445708,9.70696403203528,2021-06-15 16:49:28.577
88,-0.6345706288041661,-2.367327292213697,9.542525697189808,2021-06-15 16:49:28.477
89,-0.6580986474690109,-2.382117133445647,9.719036750941196,2021-06-15 16:49:28.378
90,-0.6190991399767622,-2.371938570421295,9.662248999798095,2021-06-15 16:49:28.268
91,-0.6506001545581723,-2.3317067152528463,9.598972159129234,2021-06-15 16:49:28.157
92,-0.6330377365669051,-2.311413899272489,9.69118264753147,2021-06-15 16:49:28.057
93,-0.6594356692558971,-2.456006857228154,9.757060944923554,2021-06-15 16:49:27.947
94,-0.7380825010341427,-2.3950118301509082,9.609609836628293,2021-06-15 16:49:27.848
95,-0.6899551685973648,-2.400007078466327,9.625413568291407,2021-06-15 16:49:27.747
96,-0.7709449643036945,-2.4639275047104285,9.654532615238155,2021-06-15 16:49:27.647
97,-0.6721731659371055,-2.391511236201724,9.57757598046295,2021-06-15 16:49:27.526
98,-0.7791181142162111,-2.392479448459049,9.639619808972778,2021-06-15 16:49:27.417
99,-0.7739621017994613,-2.470042963341551,9.621890306896452,2021-06-15 16:49:27.316
100,-0.7898280406087508,-2.4111273985944646,9.574213252470976,2021-06-15 16:49:27.206
101,-0.720692412263872,-2.407975522150041,9.5779442933547,2021-06-15 16:49:27.107
102,-0.7740728376749897,-2.475625362781983,9.637873246165977,2021-06-15 16:49:26.997
103,-0.7501962111247182,-2.4501848941326103,9.687092810563389,2021-06-15 16:49:26.896
104,-0.7938565005068925,-2.435366860390904,9.59405286325408,2021-06-15 16:49:26.786
105,-0.7585302282532294,-2.4808549162301787,9.646196078250501,2021-06-15 16:49:26.686
106,-0.747401861993017,-2.47819484723576,9.643615014298662,2021-06-15 16:49:26.586
107,-0.7931952493368579,-2.415658292290672,9.612776822060098,2021-06-15 16:49:26.486
108,-0.755837953871934,-2.444014556875303,9.531400108989228,2021-06-15 16:49:26.386
109,-0.8216030478600178,-2.4923802731755846,9.615552335375252,2021-06-15 16:49:26.276
110,-0.7535435445714596,-2.4531450560681236,9.736248795612129,2021-06-15 16:49:26.176
111,-0.8152806437741009,-2.413741287193556,9.559494882413508,2021-06-15 16:49:26.066
112,-0.759255707922033,-2.449414513055751,9.617720072421948,2021-06-15 16:49:25.966
113,-0.7412471742414242,-2.4595966677306724,9.698214819160771,2021-06-15 16:49:25.866
114,-0.771722434236989,-2.4563169890961962,9.565727992215294,2021-06-15 16:49:25.756
115,-0.7462483817460059,-2.4291711316775855,9.699122877450998,2021-06-15 16:49:25.657
116,-0.78661793323562,-2.4689099873766174,9.577366661286112,2021-06-15 16:49:25.556
117,-0.7749694008755259,-2.451421487522638,9.667839421285363,2021-06-15 16:49:25.466
118,-0.805489459308163,-2.484971253584235,9.594938949621415,2021-06-15 16:49:25.326
119,-0.7704927753436914,-2.4377544141973013,9.670133576628949,2021-06-15 16:49:25.216
120,-0.7611407018422833,-2.431037897454514,9.52190817260934,2021-06-15 16:49:25.116
121,-0.7655175279103725,-2.526398779317685,9.631316387123015,2021-06-15 16:49:25.006
122,-0.7653067061414554,-2.5129612826879595,9.668290789364942,2021-06-15 16:49:24.906
123,-0.7954942532390092,-2.4402148904938388,9.488696490599441,2021-06-15 16:49:24.796
124,-0.7914445785493727,-2.480992433025312,9.646278410637686,2021-06-15 16:49:24.696
125,-0.7959672935991466,-2.554449582469345,9.59548462561525,2021-06-15 16:49:24.595
126,-0.7886689271035312,-2.487612783678364,9.700295132391622,2021-06-15 16:49:24.496
127,-0.7646427071095692,-2.4794677522550876,9.572395995673295,2021-06-15 16:49:24.385
128,-0.7637906511294181,-2.5405005393508158,9.602014269725949,2021-06-15 16:49:24.275
129,-0.8152833621729003,-2.5201341217305644,9.658625008505851,2021-06-15 16:49:24.175
130,-0.8198534241486117,-2.491126075363641,9.482222923802874,2021-06-15 16:49:24.065
131,-0.8072987060087704,-2.4939971486932886,9.622259362090793,2021-06-15 16:49:23.966
132,-0.7847769858659381,-2.5271741845797653,9.658528411537773,2021-06-15 16:49:23.855
133,-0.8042269797060384,-2.4502670853518493,9.600612494081297,2021-06-15 16:49:23.756
134,-0.7761512269197508,-2.482899884137212,9.630296224558542,2021-06-15 16:49:23.645
135,-0.790819473496976,-2.520288557094332,9.621798953845607,2021-06-15 16:49:23.545
136,-0.7724304738935637,-2.4370901507938934,9.662461291784084,2021-06-15 16:49:23.435
137,-0.7981901111004244,-2.4242514992904556,9.551279301795363,2021-06-15 16:49:23.335
138,-0.778446914052519,-2.4645934106082645,9.648151339123348,2021-06-15 16:49:23.235
139,-0.7927129807191589,-2.479736415377298,9.628775874579835,2021-06-15 16:49:23.036
140,-0.8086376393874664,-2.4951812134674936,9.641921756110282,2021-06-15 16:49:22.935
141,-0.8466317034027822,-2.451275582089925,9.634398604695642,2021-06-15 16:49:22.935
142,-0.7871061159478148,-2.4614795835739343,9.534049977607669,2021-06-15 16:49:22.835
